R1: IF persons = '2' -> evaluation = 'unacc' [Precision: 100%, Coverage: 33.21%]
R39: IF buying = 'low' AND maint = 'vhigh' AND doors = '4' AND persons = '4' AND lug_boot = 'big' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R40: IF buying = 'low' AND maint = 'med' AND doors = '2' AND persons = 'more' AND lug_boot = 'big' -> evaluation = 'good' [Precision: 100%, Coverage: 0.07%]
R41: IF buying = 'low' AND maint = 'med' AND doors = '4' AND persons = 'more' AND lug_boot = 'big' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.07%]
R42: IF buying = 'med' AND maint = 'low' AND doors = '4' AND persons = '4' AND lug_boot = 'small' -> evaluation = 'good' [Precision: 100%, Coverage: 0.07%]
R43: IF buying = 'med' AND maint = 'high' AND doors = '3' AND persons = 'more' AND lug_boot = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R44: IF buying = 'med' AND maint = 'high' AND doors = '5more' AND persons = 'more' AND lug_boot = 'big' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R45: IF buying = 'med' AND maint = 'high' AND doors = '5more' AND persons = '4' AND lug_boot = 'big' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R46: IF buying = 'med' AND maint = 'high' AND doors = '4' AND persons = '4' AND lug_boot = 'small' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.07%]
R47: IF buying = 'med' AND maint = 'vhigh' AND doors = '2' AND persons = 'more' AND lug_boot = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R48: IF buying = 'med' AND maint = 'vhigh' AND doors = '2' AND persons = 'more' AND lug_boot = 'big' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R49: IF buying = 'med' AND maint = 'vhigh' AND doors = '3' AND persons = 'more' AND lug_boot = 'small' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R50: IF buying = 'med' AND maint = 'vhigh' AND doors = '5more' AND persons = '4' AND lug_boot = 'small' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.07%]
R51: IF buying = 'med' AND maint = 'med' AND doors = '2' AND persons = 'more' AND lug_boot = 'big' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R52: IF buying = 'med' AND maint = 'med' AND doors = '3' AND persons = '4' AND lug_boot = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R53: IF buying = 'med' AND maint = 'med' AND doors = '5more' AND persons = '4' AND lug_boot = 'small' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.07%]
R54: IF buying = 'med' AND maint = 'med' AND doors = '4' AND persons = 'more' AND lug_boot = 'small' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R55: IF buying = 'med' AND maint = 'med' AND doors = '4' AND persons = '4' AND lug_boot = 'small' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R56: IF buying = 'vhigh' AND maint = 'low' AND doors = '2' AND persons = '4' AND lug_boot = 'big' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.07%]
R57: IF buying = 'vhigh' AND maint = 'low' AND doors = '5more' AND persons = 'more' AND lug_boot = 'big' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R58: IF buying = 'vhigh' AND maint = 'low' AND doors = '4' AND persons = '4' AND lug_boot = 'small' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R59: IF buying = 'vhigh' AND maint = 'med' AND doors = '3' AND persons = '4' AND lug_boot = 'med' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.07%]
R60: IF buying = 'vhigh' AND maint = 'med' AND doors = '4' AND persons = 'more' AND lug_boot = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R61: IF buying = 'vhigh' AND maint = 'med' AND doors = '4' AND persons = '4' AND lug_boot = 'big' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.07%]
R62: IF buying = 'high' AND maint = 'low' AND doors = '3' AND persons = 'more' AND lug_boot = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R63: IF buying = 'high' AND maint = 'low' AND doors = '3' AND persons = 'more' AND lug_boot = 'big' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R64: IF buying = 'high' AND maint = 'low' AND doors = '3' AND persons = 'more' AND lug_boot = 'small' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.07%]
R65: IF buying = 'high' AND maint = 'low' AND doors = '3' AND persons = '4' AND lug_boot = 'med' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.14%]
R66: IF buying = 'high' AND maint = 'low' AND doors = '5more' AND persons = 'more' AND lug_boot = 'med' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.07%]
R67: IF buying = 'high' AND maint = 'low' AND doors = '5more' AND persons = '4' AND lug_boot = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R68: IF buying = 'high' AND maint = 'low' AND doors = '4' AND persons = '4' AND lug_boot = 'small' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.14%]
R69: IF buying = 'high' AND maint = 'high' AND doors = '2' AND persons = '4' AND lug_boot = 'big' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R70: IF buying = 'high' AND maint = 'high' AND doors = '3' AND persons = 'more' AND lug_boot = 'big' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R71: IF buying = 'high' AND maint = 'high' AND doors = '5more' AND persons = 'more' AND lug_boot = 'big' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R72: IF buying = 'high' AND maint = 'high' AND doors = '5more' AND persons = '4' AND lug_boot = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R73: IF buying = 'high' AND maint = 'high' AND doors = '4' AND persons = '4' AND lug_boot = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R74: IF buying = 'high' AND maint = 'med' AND doors = '2' AND persons = '4' AND lug_boot = 'big' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R75: IF buying = 'high' AND maint = 'med' AND doors = '3' AND persons = 'more' AND lug_boot = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R76: IF buying = 'high' AND maint = 'med' AND doors = '5more' AND persons = 'more' AND lug_boot = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R77: IF buying = 'high' AND maint = 'med' AND doors = '5more' AND persons = 'more' AND lug_boot = 'small' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.14%]
R78: IF buying = 'high' AND maint = 'med' AND doors = '4' AND persons = '4' AND lug_boot = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R79: IF buying = 'low' AND maint = 'low' AND doors = '5more' AND persons = '4' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.14%]
R80: IF buying = 'low' AND maint = 'high' AND doors = '3' AND persons = 'more' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.14%]
R81: IF buying = 'low' AND maint = 'high' AND doors = '3' AND persons = 'more' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.22%]
R82: IF buying = 'low' AND maint = 'high' AND doors = '3' AND persons = '4' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R83: IF buying = 'low' AND maint = 'high' AND doors = '5more' AND persons = 'more' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R84: IF buying = 'low' AND maint = 'high' AND doors = '5more' AND persons = '4' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.07%]
R85: IF buying = 'low' AND maint = 'high' AND doors = '4' AND persons = 'more' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R86: IF buying = 'low' AND maint = 'high' AND doors = '4' AND persons = '4' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.07%]
R87: IF buying = 'low' AND maint = 'vhigh' AND doors = '2' AND persons = '4' AND safety = 'med' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.14%]
R88: IF buying = 'low' AND maint = 'med' AND doors = '5more' AND persons = 'more' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.14%]
R89: IF buying = 'low' AND maint = 'med' AND doors = '4' AND persons = 'more' AND safety = 'high' -> evaluation = 'good' [Precision: 100%, Coverage: 0.07%]
R90: IF buying = 'low' AND maint = 'med' AND doors = '4' AND persons = '4' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.14%]
R91: IF buying = 'low' AND maint = 'med' AND doors = '4' AND persons = '4' AND safety = 'med' -> evaluation = 'good' [Precision: 100%, Coverage: 0.14%]
R92: IF buying = 'med' AND maint = 'low' AND doors = '5more' AND persons = 'more' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.14%]
R93: IF buying = 'med' AND maint = 'low' AND doors = '4' AND persons = '4' AND safety = 'med' -> evaluation = 'good' [Precision: 100%, Coverage: 0.14%]
R94: IF buying = 'med' AND maint = 'high' AND doors = '3' AND persons = 'more' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R95: IF buying = 'med' AND maint = 'high' AND doors = '5more' AND persons = 'more' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.22%]
R96: IF buying = 'med' AND maint = 'high' AND doors = '4' AND persons = 'more' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.22%]
R97: IF buying = 'med' AND maint = 'vhigh' AND doors = '2' AND persons = 'more' AND safety = 'med' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.07%]
R98: IF buying = 'med' AND maint = 'vhigh' AND doors = '3' AND persons = 'more' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R99: IF buying = 'med' AND maint = 'vhigh' AND doors = '3' AND persons = 'more' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R100: IF buying = 'med' AND maint = 'vhigh' AND doors = '5more' AND persons = 'more' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.22%]
R101: IF buying = 'med' AND maint = 'vhigh' AND doors = '5more' AND persons = 'more' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R102: IF buying = 'med' AND maint = 'vhigh' AND doors = '4' AND persons = 'more' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.22%]
R103: IF buying = 'med' AND maint = 'vhigh' AND doors = '4' AND persons = '4' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R104: IF buying = 'med' AND maint = 'med' AND doors = '3' AND persons = 'more' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.22%]
R105: IF buying = 'med' AND maint = 'med' AND doors = '5more' AND persons = 'more' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.22%]
R106: IF buying = 'med' AND maint = 'med' AND doors = '5more' AND persons = '4' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.14%]
R107: IF buying = 'med' AND maint = 'med' AND doors = '4' AND persons = 'more' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R108: IF buying = 'vhigh' AND maint = 'low' AND doors = '3' AND persons = 'more' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R109: IF buying = 'vhigh' AND maint = 'low' AND doors = '3' AND persons = 'more' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R110: IF buying = 'vhigh' AND maint = 'low' AND doors = '5more' AND persons = 'more' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.22%]
R111: IF buying = 'vhigh' AND maint = 'low' AND doors = '4' AND persons = 'more' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R112: IF buying = 'vhigh' AND maint = 'low' AND doors = '4' AND persons = '4' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R113: IF buying = 'vhigh' AND maint = 'med' AND doors = '3' AND persons = 'more' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.22%]
R114: IF buying = 'vhigh' AND maint = 'med' AND doors = '5more' AND persons = 'more' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R115: IF buying = 'vhigh' AND maint = 'med' AND doors = '5more' AND persons = '4' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R116: IF buying = 'vhigh' AND maint = 'med' AND doors = '4' AND persons = 'more' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R117: IF buying = 'high' AND maint = 'low' AND doors = '2' AND persons = 'more' AND safety = 'high' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.07%]
R118: IF buying = 'high' AND maint = 'low' AND doors = '3' AND persons = 'more' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R119: IF buying = 'high' AND maint = 'low' AND doors = '5more' AND persons = 'more' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R120: IF buying = 'high' AND maint = 'low' AND doors = '4' AND persons = 'more' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.22%]
R121: IF buying = 'high' AND maint = 'high' AND doors = '2' AND persons = 'more' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R122: IF buying = 'high' AND maint = 'high' AND doors = '2' AND persons = '4' AND safety = 'med' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.14%]
R123: IF buying = 'high' AND maint = 'med' AND doors = '2' AND persons = 'more' AND safety = 'med' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.14%]
R124: IF buying = 'high' AND maint = 'med' AND doors = '3' AND persons = 'more' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R125: IF buying = 'high' AND maint = 'med' AND doors = '5more' AND persons = 'more' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R126: IF buying = 'high' AND maint = 'med' AND doors = '5more' AND persons = '4' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R127: IF buying = 'high' AND maint = 'med' AND doors = '4' AND persons = 'more' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.22%]
R128: IF buying = 'low' AND maint = 'low' AND doors = '2' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R129: IF buying = 'low' AND maint = 'low' AND doors = '3' AND lug_boot = 'small' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R130: IF buying = 'low' AND maint = 'low' AND doors = '5more' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'good' [Precision: 100%, Coverage: 0.14%]
R131: IF buying = 'low' AND maint = 'low' AND doors = '4' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'good' [Precision: 100%, Coverage: 0.14%]
R132: IF buying = 'low' AND maint = 'low' AND doors = '4' AND lug_boot = 'small' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R133: IF buying = 'low' AND maint = 'high' AND doors = '3' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R134: IF buying = 'low' AND maint = 'high' AND doors = '4' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R135: IF buying = 'low' AND maint = 'high' AND doors = '4' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.14%]
R136: IF buying = 'low' AND maint = 'vhigh' AND doors = '2' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R137: IF buying = 'low' AND maint = 'vhigh' AND doors = '3' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.14%]
R138: IF buying = 'low' AND maint = 'vhigh' AND doors = '3' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R139: IF buying = 'low' AND maint = 'vhigh' AND doors = '5more' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R140: IF buying = 'low' AND maint = 'vhigh' AND doors = '4' AND lug_boot = 'small' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R141: IF buying = 'low' AND maint = 'med' AND doors = '2' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R142: IF buying = 'low' AND maint = 'med' AND doors = '5more' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.14%]
R143: IF buying = 'low' AND maint = 'med' AND doors = '4' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'good' [Precision: 100%, Coverage: 0.14%]
R144: IF buying = 'low' AND maint = 'med' AND doors = '4' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.07%]
R145: IF buying = 'med' AND maint = 'low' AND doors = '2' AND lug_boot = 'small' AND safety = 'med' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.07%]
R146: IF buying = 'med' AND maint = 'low' AND doors = '3' AND lug_boot = 'small' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R147: IF buying = 'med' AND maint = 'low' AND doors = '4' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'vgood' [Precision: 100%, Coverage: 0.14%]
R148: IF buying = 'med' AND maint = 'high' AND doors = '2' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.14%]
R149: IF buying = 'med' AND maint = 'high' AND doors = '3' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R150: IF buying = 'med' AND maint = 'high' AND doors = '3' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R151: IF buying = 'med' AND maint = 'high' AND doors = '5more' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R152: IF buying = 'med' AND maint = 'high' AND doors = '4' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R153: IF buying = 'med' AND maint = 'vhigh' AND doors = '2' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R154: IF buying = 'med' AND maint = 'vhigh' AND doors = '3' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.07%]
R155: IF buying = 'med' AND maint = 'vhigh' AND doors = '5more' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R156: IF buying = 'med' AND maint = 'vhigh' AND doors = '5more' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R157: IF buying = 'med' AND maint = 'vhigh' AND doors = '4' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R158: IF buying = 'med' AND maint = 'med' AND doors = '2' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R159: IF buying = 'med' AND maint = 'med' AND doors = '3' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R160: IF buying = 'med' AND maint = 'med' AND doors = '5more' AND lug_boot = 'small' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
R161: IF buying = 'med' AND maint = 'med' AND doors = '4' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R162: IF buying = 'med' AND maint = 'med' AND doors = '4' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R163: IF buying = 'vhigh' AND maint = 'low' AND doors = '2' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R164: IF buying = 'vhigh' AND maint = 'low' AND doors = '3' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.14%]
R165: IF buying = 'vhigh' AND maint = 'low' AND doors = '3' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.07%]
R166: IF buying = 'vhigh' AND maint = 'low' AND doors = '4' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R167: IF buying = 'vhigh' AND maint = 'med' AND doors = '2' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R168: IF buying = 'vhigh' AND maint = 'med' AND doors = '5more' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.07%]
R169: IF buying = 'vhigh' AND maint = 'med' AND doors = '4' AND lug_boot = 'med' AND safety = 'high' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R170: IF buying = 'vhigh' AND maint = 'med' AND doors = '4' AND lug_boot = 'med' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.14%]
R171: IF buying = 'vhigh' AND maint = 'med' AND doors = '4' AND lug_boot = 'big' AND safety = 'high' -> evaluation = 'unacc' [Precision: 100%, Coverage: 0.07%]
R172: IF buying = 'vhigh' AND maint = 'med' AND doors = '4' AND lug_boot = 'big' AND safety = 'med' -> evaluation = 'acc' [Precision: 100%, Coverage: 0.07%]
